iter	RMSE
0	242485.8483
1	239185.8454
2	236064.2724
3	232988.2096
4	230130.6356
5	227234.7048
6	224545.3903
7	221874.4892
8	219176.7719
9	216611.942
10	214339.361
11	211800.551
12	209285.567
13	206864.9802
14	204539.3408
15	202178.7681
16	199755.1235
17	197487.8002
18	195371.1008
19	193190.5338
20	191176.7089
21	189267.9102
22	187230.3831
23	185351.0556
24	183357.351
25	181544.5557
26	179746.0574
27	178130.6935
28	176360.346
29	174624.7963
30	173082.6602
31	171517.3975
32	170012.6375
33	168488.1234
34	167040.202
35	165583.0824
36	164156.7065
37	162773.8221
38	161472.6037
39	160141.3108
40	158923.5356
41	157656.0886
42	156411.1324
43	155209.4408
44	153987.1073
45	152704.8095
46	151564.2938
47	150521.2498
48	149378.443
49	148325.0654
50	147191.6842
51	146156.9953
52	145168.3721
53	144229.3397
54	143241.5115
55	142223.2254
56	141259.0159
57	140375.8498
58	139503.8372
59	138681.0944
60	137887.8781
61	137044.5627
62	136223.2364
63	135494.1344
64	134735.4195
65	134009.9759
66	133265.5272
67	132563.8412
68	131864.7065
69	131181.0064
70	130506.5186
71	129840.41
72	129186.9522
73	128528.9856
74	127896.0344
75	127266.0373
76	126706.209
77	126185.8518
78	125568.5349
79	125037.9754
80	124445.4109
81	123893.1641
82	123349.1694
83	122866.3526
84	122404.3598
85	121915.1231
86	121509.0969
87	121022.2534
88	120495.4166
89	120033.1588
90	119560.5809
91	119128.6678
92	118649.3587
93	118198.2465
94	117695.0724
95	117237.03
96	116819.3554
97	116403.9313
98	116105.5515
99	115694.2868
100	115301.9908
101	114955.633
102	114580.6844
103	114235.7345
104	113885.7208
105	113447.9805
106	113074.9882
107	112699.6472
108	112372.426
109	112051.3091
110	111698.2433
111	111392.4633
112	111062.744
113	110783.551
114	110451.348
115	110101.4901
116	109790.3446
117	109479.2594
118	109200.2576
119	108937.5444
120	108591.3442
121	108301.7559
122	108033.4798
123	107779.3457
124	107513.7951
125	107316.1991
126	107056.5248
127	106804.3775
128	106534.1249
129	106343.3415
130	106061.5872
131	105818.5908
132	105538.1736
133	105286.8757
134	105056.5921
135	104816.0957
136	104557.8482
137	104348.4124
138	104171.3993
139	103929.1227
140	103709.9919
141	103464.0581
142	103208.9449
143	103031.8088
144	102814.4781
145	102621.6459
146	102409.3286
147	102199.8134
148	101994.4742
149	101753.0388
150	101583.2256
151	101405.5964
152	101211.7758
153	101030.3695
154	100867.8567
155	100709.7542
156	100519.571
157	100345.6951
158	100121.5448
159	99940.31845
160	99767.87753
161	99578.3827
162	99420.37336
163	99259.40967
164	99043.50512
165	98889.59461
166	98743.23601
167	98566.9234
168	98407.70975
169	98306.33822
170	98188.29368
171	98029.69597
172	97876.78548
173	97701.59206
174	97553.22389
175	97387.28356
176	97265.43674
177	97131.81266
178	97014.83479
179	96845.31683
180	96721.77302
181	96586.9159
182	96468.63082
183	96298.61313
184	96182.42784
185	96007.03543
186	95847.94352
187	95698.39963
188	95579.12823
189	95438.91861
190	95303.3283
191	95128.27278
192	95022.68342
193	94897.97327
194	94782.38183
195	94656.49729
196	94545.30368
197	94410.59387
198	94308.02934
199	94214.678
200	94108.98185
201	93973.38685
202	93868.29914
203	93716.62033
204	93631.16025
205	93485.61127
206	93364.00898
207	93249.12434
208	93145.96778
209	93065.03385
210	92964.11259
211	92864.87051
212	92751.64566
213	92620.37239
214	92515.34783
215	92434.83327
216	92316.40668
217	92237.64528
218	92107.83805
219	92020.07683
220	91918.95734
221	91801.71971
222	91705.04416
223	91591.80848
224	91434.02011
225	91327.40396
226	91253.7228
227	91173.08654
228	91042.37257
229	90953.86684
230	90868.26917
231	90793.56876
232	90747.31897
233	90633.54843
234	90547.42863
235	90444.40984
236	90331.07165
237	90247.00107
238	90192.95158
239	90188.20174
240	90125.63309
241	90038.48959
242	89960.98462
243	89879.58278
244	89787.89961
245	89725.06066
246	89579.48706
247	89507.23398
248	89410.30115
249	89268.5548
250	89182.40465
251	89076.2238
252	88985.26922
253	88854.47399
254	88759.99845
255	88660.10215
256	88575.36526
257	88470.24562
258	88393.46633
259	88295.41791
260	88220.43003
261	88169.55036
262	88100.67243
263	88022.30504
264	87959.90451
265	87881.12193
266	87804.72945
267	87722.55014
268	87633.01214
269	87546.22288
270	87451.89113
271	87363.5603
272	87270.06037
273	87178.57571
274	87172.36723
275	87085.75135
276	87030.23307
277	86961.38312
278	86899.98234
279	86839.249
280	86794.38608
281	86764.08836
282	86681.93248
283	86625.24573
284	86571.36351
285	86503.02785
286	86418.26886
287	86330.07439
288	86254.41006
289	86178.21754
290	86122.93871
291	86047.469
292	85978.47368
293	85919.56568
294	85886.18079
295	85806.23175
296	85767.30185
297	85700.85372
298	85648.475
299	85574.48431
300	85504.30058
301	85420.65514
302	85381.09157
303	85330.37507
304	85261.0027
305	85219.96188
306	85159.65617
307	85107.74401
308	85048.45081
309	84988.96158
310	84948.54608
311	84891.80265
312	84812.58993
313	84728.27154
314	84671.46037
