iter	Passed	Remaining
0	34	68818
1	72	72808
2	103	69047
3	128	64140
4	153	61121
5	175	58438
6	200	57108
7	222	55463
8	252	55842
9	280	55770
10	296	53627
11	319	52985
12	347	53046
13	371	52640
14	401	53107
15	422	52385
16	440	51426
17	465	51303
18	494	51547
19	522	51684
20	545	51364
21	565	50887
22	586	50452
23	607	50011
24	631	49853
25	657	49938
26	687	50257
27	711	50088
28	739	50285
29	757	49731
30	782	49703
31	806	49584
32	833	49707
33	859	49706
34	884	49636
35	911	49736
36	931	49431
37	955	49333
38	980	49301
39	1007	49359
40	1028	49125
41	1060	49430
42	1095	49869
43	1119	49744
44	1138	49443
45	1173	49858
46	1203	50014
47	1235	50247
48	1258	50122
49	1276	49801
50	1301	49755
51	1325	49644
52	1349	49584
53	1370	49395
54	1396	49382
55	1423	49403
56	1447	49356
57	1470	49242
58	1497	49261
59	1525	49331
60	1549	49238
61	1577	49313
62	1598	49144
63	1618	48971
64	1640	48834
65	1663	48755
66	1689	48742
67	1719	48844
68	1745	48837
69	1770	48820
70	1798	48863
71	1832	49065
72	1863	49201
73	1889	49185
74	1915	49164
75	1945	49246
76	1969	49177
77	1988	49002
78	2009	48873
79	2036	48873
80	2069	49019
81	2104	49224
82	2131	49224
83	2159	49249
84	2181	49157
85	2208	49157
86	2234	49123
87	2260	49113
88	2287	49124
89	2312	49086
90	2336	49013
91	2362	48989
92	2388	48983
93	2410	48866
94	2435	48847
95	2459	48777
96	2482	48694
97	2509	48706
98	2526	48507
99	2552	48500
100	2575	48430
101	2602	48426
102	2627	48386
103	2658	48457
104	2683	48436
105	2708	48397
106	2736	48409
107	2760	48366
108	2786	48350
109	2817	48403
110	2845	48423
111	2871	48400
112	2892	48296
113	2914	48221
114	2939	48179
115	2964	48143
116	2991	48137
117	3017	48124
118	3044	48127
119	3069	48084
120	3095	48064
121	3119	48025
122	3146	48016
123	3174	48024
124	3197	47958
125	3222	47934
126	3248	47910
127	3269	47816
128	3295	47792
129	3319	47756
130	3345	47725
131	3371	47711
132	3396	47675
133	3422	47664
134	3450	47665
135	3479	47689
136	3505	47664
137	3529	47628
138	3551	47544
139	3572	47468
140	3596	47415
141	3623	47408
142	3647	47366
143	3672	47339
144	3700	47341
145	3723	47288
146	3748	47251
147	3775	47248
148	3804	47267
149	3830	47242
150	3860	47272
151	3883	47219
152	3911	47219
153	3943	47266
154	3962	47169
155	3994	47216
156	4025	47255
157	4054	47263
158	4076	47202
159	4100	47157
160	4127	47150
161	4153	47120
162	4177	47076
163	4201	47041
164	4228	47026
165	4257	47035
166	4277	46954
167	4304	46942
168	4332	46936
169	4359	46923
170	4377	46824
171	4399	46753
172	4421	46694
173	4445	46647
174	4471	46629
175	4496	46602
176	4522	46579
177	4543	46510
178	4568	46476
179	4596	46476
180	4621	46441
181	4649	46441
182	4677	46438
183	4702	46414
184	4728	46392
185	4753	46355
186	4778	46331
187	4805	46315
188	4829	46278
189	4855	46253
190	4882	46240
191	4905	46192
192	4930	46164
193	4952	46103
194	4976	46061
195	4998	46004
196	5021	45959
197	5044	45910
198	5068	45867
199	5095	45855
200	5114	45778
201	5139	45743
202	5162	45695
203	5188	45677
204	5216	45676
205	5240	45640
206	5265	45611
207	5290	45582
208	5316	45560
209	5347	45583
210	5373	45556
211	5402	45561
212	5426	45526
213	5452	45503
214	5476	45471
215	5502	45449
216	5524	45394
217	5552	45386
218	5576	45353
219	5598	45294
220	5621	45252
221	5645	45218
222	5671	45193
223	5695	45160
224	5723	45153
225	5748	45123
226	5772	45084
227	5790	45000
228	5822	45025
229	5849	45017
230	5876	45003
231	5905	45002
232	5933	44994
233	5960	44983
234	5983	44939
235	6010	44926
236	6036	44906
237	6062	44883
238	6094	44904
239	6101	44747
240	6129	44735
241	6155	44719
242	6183	44705
243	6212	44708
244	6240	44702
245	6271	44713
246	6301	44722
247	6331	44725
248	6364	44755
249	6396	44773
250	6422	44752
251	6453	44765
252	6481	44758
253	6511	44757
254	6545	44788
255	6576	44800
256	6602	44776
257	6633	44789
258	6661	44777
259	6689	44770
260	6719	44772
261	6750	44779
262	6776	44753
263	6806	44757
264	6840	44787
265	6873	44806
266	6908	44840
267	6942	44864
268	6975	44887
269	7003	44873
270	7034	44880
271	7068	44906
272	7101	44922
273	7128	44903
274	7149	44849
275	7196	44951
276	7232	44987
277	7262	44984
278	7292	44985
279	7325	44998
280	7355	44999
281	7388	45011
282	7419	45014
283	7453	45036
284	7490	45073
285	7528	45120
286	7560	45128
287	7593	45141
288	7626	45150
289	7661	45178
290	7680	45106
291	7711	45105
292	7743	45115
293	7771	45096
294	7792	45039
295	7824	45045
296	7856	45048
297	7876	44987
298	7903	44960
299	7928	44926
300	7957	44917
301	7986	44905
302	8015	44893
303	8042	44866
304	8068	44838
305	8095	44815
306	8124	44803
307	8154	44797
308	8186	44800
309	8208	44751
310	8235	44726
311	8270	44744
312	8295	44708
313	8318	44667
314	8343	44629
315	8363	44569
316	8386	44526
317	8436	44621
318	8481	44696
319	8541	44842
320	8580	44881
321	8604	44838
322	8630	44809
323	8655	44774
324	8680	44739
325	8707	44712
326	8730	44666
327	8753	44621
328	8777	44582
329	8808	44574
330	8834	44543
331	8862	44526
332	8895	44530
333	8930	44547
334	8956	44516
335	8984	44496
336	9012	44475
337	9041	44459
338	9070	44443
339	9095	44409
340	9123	44385
341	9148	44353
342	9175	44328
343	9199	44286
344	9225	44254
345	9255	44245
346	9279	44202
347	9306	44181
348	9333	44155
349	9360	44126
350	9388	44105
351	9416	44088
352	9441	44049
353	9465	44012
354	9496	44002
355	9523	43977
356	9552	43960
357	9599	44030
358	9656	44138
359	9700	44191
360	9742	44231
361	9762	44173
362	9790	44150
363	9818	44131
364	9849	44122
365	9877	44099
366	9905	44075
367	9934	44057
368	9963	44039
369	9996	44039
370	10027	44030
371	10057	44015
372	10093	44025
373	10126	44024
374	10150	43986
375	10179	43965
376	10219	43993
377	10252	43991
378	10278	43962
379	10304	43929
380	10328	43890
381	10357	43870
382	10383	43839
383	10406	43793
384	10432	43764
385	10460	43736
386	10478	43675
387	10501	43629
388	10529	43608
389	10555	43576
390	10579	43534
391	10608	43514
392	10631	43471
393	10653	43423
394	10680	43398
395	10705	43362
396	10748	43400
397	10804	43490
398	10856	43563
399	10911	43647
400	10944	43641
401	10965	43590
402	10996	43576
403	11022	43542
404	11050	43521
405	11081	43507
406	11104	43462
407	11128	43424
408	11166	43437
409	11197	43422
410	11204	43318
411	11240	43324
412	11272	43315
413	11302	43299
414	11320	43234
415	11347	43208
416	11368	43157
417	11384	43088
418	11410	43054
419	11436	43024
420	11463	42996
421	11482	42937
422	11506	42898
423	11536	42879
424	11561	42846
425	11587	42813
426	11614	42784
427	11642	42763
428	11668	42729
429	11692	42690
430	11717	42657
431	11742	42621
432	11767	42587
433	11788	42537
434	11814	42505
435	11840	42471
436	11859	42417
437	11886	42390
438	11940	42457
439	11964	42418
440	12008	42451
441	12054	42489
442	12078	42453
443	12107	42431
444	12132	42396
445	12159	42367
446	12184	42330
447	12208	42294
448	12233	42258
449	12260	42231
450	12288	42205
451	12323	42204
452	12353	42188
453	12382	42165
454	12410	42140
455	12436	42111
456	12464	42083
457	12482	42025
458	12505	41983
459	12525	41932
460	12552	41904
461	12579	41877
462	12603	41840
463	12631	41813
464	12656	41779
465	12681	41747
466	12708	41719
467	12733	41682
468	12759	41652
469	12785	41621
470	12814	41598
471	12844	41580
472	12869	41545
473	12901	41536
474	12927	41504
475	12952	41469
476	12974	41425
477	12990	41361
478	13012	41320
479	13034	41275
480	13061	41249
481	13105	41273
482	13163	41344
483	13192	41322
484	13228	41321
485	13254	41292
486	13283	41269
487	13309	41236
488	13328	41185
489	13355	41157
490	13384	41135
491	13414	41114
492	13445	41100
493	13491	41131
494	13517	41098
495	13543	41066
496	13569	41036
497	13597	41012
498	13627	40991
499	13648	40946
500	13675	40916
501	13699	40881
502	13724	40844
503	13756	40833
504	13793	40832
505	13827	40827
506	13846	40774
507	13885	40781
508	13922	40782
509	13953	40766
510	13983	40745
511	14012	40722
512	14039	40696
513	14068	40672
514	14098	40653
515	14131	40642
516	14166	40636
517	14195	40613
518	14231	40609
519	14258	40581
520	14285	40552
521	14316	40536
522	14346	40515
523	14373	40486
524	14398	40453
525	14427	40428
526	14456	40406
527	14484	40380
528	14516	40366
529	14546	40346
530	14572	40313
531	14600	40289
532	14620	40239
533	14645	40205
534	14672	40178
535	14699	40149
536	14724	40116
537	14742	40062
538	14767	40029
539	14795	40001
540	14824	39979
541	14852	39953
542	14884	39939
543	14915	39920
544	14942	39893
545	14968	39860
546	14993	39827
547	15023	39806
548	15058	39798
549	15096	39798
550	15134	39798
551	15171	39798
552	15205	39787
553	15235	39766
554	15263	39738
555	15284	39696
556	15309	39662
557	15336	39631
558	15359	39594
559	15388	39569
560	15413	39536
561	15444	39517
562	15473	39494
563	15502	39471
564	15531	39446
565	15555	39411
566	15581	39380
567	15609	39352
568	15641	39337
569	15667	39305
570	15689	39263
571	15714	39232
572	15742	39204
573	15761	39156
574	15788	39127
575	15811	39090
576	15838	39059
577	15865	39033
578	15885	38987
579	15901	38932
580	15930	38907
581	15953	38868
582	15982	38846
583	16008	38816
584	16035	38787
585	16066	38768
586	16095	38743
587	16127	38728
588	16158	38707
589	16189	38690
590	16218	38667
591	16245	38638
592	16274	38614
593	16302	38587
594	16329	38559
595	16359	38537
596	16387	38511
597	16411	38477
598	16423	38413
599	16449	38382
600	16473	38347
601	16502	38323
602	16535	38308
603	16568	38294
604	16599	38273
605	16615	38222
606	16646	38201
607	16671	38168
608	16698	38139
609	16727	38116
610	16752	38083
611	16776	38049
612	16811	38037
613	16842	38020
614	16866	37984
615	16890	37949
616	16918	37922
617	16946	37896
618	16976	37874
619	17000	37839
620	17027	37811
621	17058	37792
622	17085	37762
623	17114	37738
624	17142	37713
625	17167	37680
626	17192	37647
627	17218	37617
628	17246	37590
629	17278	37574
630	17303	37540
631	17329	37511
632	17359	37487
633	17385	37458
634	17413	37432
635	17440	37404
636	17462	37365
637	17488	37334
638	17513	37301
639	17542	37278
640	17568	37247
641	17597	37223
642	17626	37198
643	17651	37167
644	17681	37145
645	17710	37120
646	17737	37092
647	17765	37065
648	17794	37041
649	17818	37007
650	17838	36965
651	17864	36933
652	17888	36899
653	17916	36873
654	17945	36850
655	17966	36809
656	17996	36787
657	18025	36763
658	18053	36736
659	18082	36712
660	18112	36690
661	18138	36660
662	18154	36609
663	18179	36578
664	18204	36545
665	18227	36510
666	18251	36476
667	18274	36439
668	18291	36392
669	18320	36366
670	18351	36346
671	18388	36338
672	18415	36310
673	18442	36282
674	18470	36257
675	18496	36227
676	18522	36196
677	18548	36166
678	18579	36145
679	18606	36118
680	18632	36089
681	18658	36058
682	18684	36029
683	18708	35994
684	18735	35966
685	18761	35935
686	18782	35897
687	18817	35884
688	18848	35863
689	18874	35834
690	18903	35809
691	18927	35776
692	18953	35746
693	18981	35719
694	19001	35679
695	19025	35645
696	19056	35624
697	19083	35597
698	19110	35569
699	19128	35524
700	19152	35490
701	19178	35460
702	19202	35427
703	19228	35398
704	19253	35366
705	19281	35340
706	19300	35297
707	19322	35261
708	19349	35233
709	19373	35199
710	19398	35168
711	19424	35139
712	19445	35099
713	19468	35065
714	19494	35036
715	19520	35005
716	19544	34972
717	19570	34943
718	19594	34909
719	19622	34883
720	19643	34845
721	19664	34807
722	19692	34781
723	19717	34750
724	19736	34708
725	19759	34673
726	19785	34645
727	19810	34613
728	19836	34585
729	19857	34547
730	19875	34504
731	19897	34466
732	19918	34428
733	19937	34388
734	19964	34360
735	19984	34321
736	20010	34291
737	20037	34265
738	20061	34232
739	20087	34203
740	20113	34174
741	20139	34145
742	20167	34119
743	20197	34097
744	20231	34081
745	20256	34051
746	20281	34020
747	20302	33982
748	20330	33956
749	20350	33916
750	20370	33879
751	20392	33842
752	20422	33820
753	20451	33795
754	20475	33764
755	20500	33733
756	20526	33704
757	20551	33673
758	20578	33646
759	20602	33613
760	20621	33574
761	20645	33541
762	20671	33512
763	20698	33485
764	20722	33454
765	20751	33429
766	20775	33398
767	20803	33372
768	20829	33343
769	20854	33312
770	20878	33281
